title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,country_of_publication,year
ORPHAN TRAIN,Christina Baker Kline,9780061950728,0061950726,4.0,,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s. ,https://www.amazon.com/Orphan-Train-Christina-Baker-Kline-ebook/dp/B0089LOG02?tag=NYTBS-20,,,English-speaking area,
ORR,Bob Orr,9780399161759,0399161759,4.0,,,https://www.amazon.com/Orr-My-Story-Bobby/dp/0399161759?tag=NYTBS-20,,"Boston Bruins (Hockey team), History, Biography, Hockey players",English-speaking area,2013
OTHERWISE ENGAGED,Amanda Quick,9781101621011,,5.0,,"Amity Doncaster joins forces with Benedict Stanbridge, a spy for the Crown, to defeat a serial killer known as the Bridegroom; by Jayne Ann Krentz, writing pseudonymously.",https://www.amazon.com/Otherwise-Engaged-Amanda-Quick-ebook/dp/B00FX7R5QM?tag=NYTBS-20,Putnam,,English-speaking area,
OTIS,Loren Long,9780399252488,0399252487,4.0,,A frisky tractor befriends a calf.,https://www.amazon.com/Otis-Loren-Long/dp/0399252487?tag=NYTBS-20,,"Tractors -- Fiction., Farm life -- Fiction., Farms -- Fiction.",English-speaking area,2009-09-22
"OTOMEN, VOL. 6",Aya Kanno,9781421529301,1421529300,2.0,,Asuka helps his friend practice for a date by playing the role of his female intended.,https://www.amazon.com/Otomen-Vol-6-Aya-Kanno/dp/1421529300?tag=NYTBS-20,,,English-speaking area,2010-05-04
OUR DARK DUET,Victoria Schwab,9780062380883,0062380885,5.0,,"Kate and August must face the monsters without, and within.",https://www.amazon.com/Our-Dark-Duet-Monsters-Verity/dp/0062380885?tag=NYTBS-20,,,English-speaking area,2017-06-13
OUR GREAT BIG BACKYARD,Laura Bush;Jenna Bush Hager,9780062468352,0062468359,1.0,,"On a family trip to several national parks, Jane finds her attention drifting from her devices to the scenery around her.",https://www.amazon.com/Our-Great-Backyard-Laura-Bush/dp/0062468359?tag=NYTBS-20,,"Summer, Juvenile fiction, Family vacations, National parks and reserves",English-speaking area,
OUR KIDS,Robert D. Putnam,9781476769899,1476769893,1.0,,A social scientist argues that income inequality is creating an “opportunity gap” for poor children that is destroying the American dream.,https://www.amazon.com/Our-Kids-American-Dream-Crisis/dp/1476769893?tag=NYTBS-20,,,English-speaking area,
OUR KIND OF TRAITOR,John le Carré,,,7.0,,An upwardly mobile British couple are caught up in Russian intrigue.,http://www.amazon.com/Our-Kind-Traitor-A-Novel/dp/0670022241?tag=NYTBS-20,Viking,,,2011-05-26
OUR MAN IN CHARLESTON,Christopher Dickey,9780307887276,0307887278,3.0,,Britain's secret agent in the Civil War south.,https://www.amazon.com/Our-Man-Charleston-Britains-Secret-ebook/dp/B00OWWC25S?tag=NYTBS-20,,"Diplomats, British Diplomatic and consular service, Espionage, Foreign relations, History, Biography, Spies",English-speaking area,
OUR REVOLUTION,Bernie Sanders,9781250132925,1250132924,3.0,,The Vermont senator and former candidate for the Democratic nomination for president delivers his message. of social and economic justice.,https://www.amazon.com/Our-Revolution-Believe-Bernie-Sanders-ebook/dp/B01HW70IY6?tag=NYTBS-20,,,English-speaking area,2016-11-15
OUR SOULS AT NIGHT,Kent Haruf,,,9.0,,A woman asks a widower to start spending the night with her.,http://www.amazon.com/Our-Souls-Night-Kent-Haruf/dp/1101875895?tag=NYTBS-20,Knopf,,,2015-05-26
"OURAN HIGH SCHOOL HOST CLUB, VOL. 14",Bisco Hatori,9781421535654,1421535653,1.0,,"Haruhi, a poor girl at a rich school, is forced to work – as a boy – for the school’s all-male club. The series is described as a “romantic comedy.”",https://www.amazon.com/Ouran-High-School-Host-Club/dp/1421535653?tag=NYTBS-20,,,English-speaking area,2010-07-06
"OURAN HIGH SCHOOL HOST CLUB, VOL. 15",Bisco Hatori,9781421536705,1421536706,4.0,,"In this romantic comedy, Haruhi, a poor girl at a rich school, is forced to work – as a boy – for the school’s all-male club.",https://www.amazon.com/Ouran-High-School-Host-Club/dp/1421536706?tag=NYTBS-20,,,English-speaking area,2010-12-07
"OURAN HIGH SCHOOL HOST CLUB, VOL. 16",Bisco Hatori,9781421538709,1421538709,5.0,,"In this romantic comedy, Haruhi, a poor girl at a rich school, is forced to work — as a boy — for the school’s all-male club.",https://www.amazon.com/Ouran-High-School-Host-Club/dp/1421538709?tag=NYTBS-20,,"Poor, Rich people, Conduct of life, Sex role, High school students, Comic books, strips",English-speaking area,2010-12-07
"OURAN HIGH SCHOOL HOST CLUB, VOL. 18",Bisco Hatori,9781421541358,1421541351,3.0,,"In this romantic comedy, Haruhi, a poor girl at a rich school, is forced to work — as a boy — for the school’s all-male club.",https://www.amazon.com/Ouran-High-School-Host-Club/dp/1421541351?tag=NYTBS-20,,"Poor, Rich people, Conduct of life, Sex role, High school students, Comic books, strips",English-speaking area,2012-06-05
OUT OF MY MIND,Sharon M. Draper,9781416971719,1416971718,2.0,,A brilliant girl with cerebral palsy longs for a way to speak.,https://www.amazon.com/Out-My-Mind-Sharon-Draper/dp/1416971718?tag=NYTBS-20,,"Communication, Juvenile fiction, Fiction, Genius, Interpersonal relations, People with disabilities, Children with disabilities, Cerebral palsy",English-speaking area,2012-05
OUT OF OZ,Gregory Maguire,,,9.0,,"As the land of Oz struggles with unrest, Elphaba’s granddaughter Rain takes up her legacy; Book 4 (the final volume) of the Wicked Years.",http://www.amazon.com/Out-Oz-Final-Volume-Wicked/dp/0060548940?tag=NYTBS-20,Morrow/HarperCollins,,,2011-11-01
OUT OF THE DARK,David Weber,,,20.0,,,http://www.amazon.com/Out-Dark-David-Weber/dp/0765324121?tag=NYTBS-20,Tor,,,
OUT OF THE RAIN,Debbie Macomber,9780778329886,0778329887,4.0,,"A reissue of two novels, “Marriage Wanted” (1993) and “Laughter in the Rain” (1986).",https://www.amazon.com/Out-Rain-Marriage-Wanted?tag=NYTBS-20,,"Romance, Man-woman relationships, Fiction",English-speaking area,2011-07-26
OUTCAST,Aaron Allston,,,3.0,,The start of a new series about the extended Skywalker family; a “Star Wars” novel.,http://www.amazon.com/Outcast-Star-Wars-Fate-Legends-ebook/dp/B001NLL8RO?tag=NYTBS-20,Del Rey/Ballantine,,,2010-04-27
"OUTCAST, VOL. 3",Robert Kirkman;Paul Azaceta,9781632156938,1632156938,3.0,,Kyle learns more about his exorcism abilities and the true nature of the supernatural events that surround him.,https://www.amazon.com/Outcast-Kirkman-Azaceta-Little-Light/dp/1632156938?tag=NYTBS-20,,"Demoniac possession, Alienation (Social psychology), Demonology, Comic books, strips",English-speaking area,2015
"OUTER ORDER, INNER CALM",Gretchen Rubin,9781984822802,1984822802,3.0,,,https://www.amazon.com/Outer-Order-Inner-Calm-Declutter/dp/1984822802?tag=NYTBS-20,,,English-speaking area,2019-03-05
OUTFOX,Sandra Brown,9781455572175,1455572195,3.0,,F.B.I. Agent Drex Easton has a hunch that the conman Weston Graham is also a serial killer.,https://www.amazon.com/Outfox-Sandra-Brown/dp/1455572195?tag=NYTBS-20,,"Fiction, romance, suspense, Fiction, mystery & detective, women sleuths",English-speaking area,
OUTLANDER,Diana Gabaldon,9780440335160,0440335167,1.0,,"Claire Randall, an English nurse, is transported back to 1743 during a second honeymoon in the Scottish Highlands. There she begins an affair with James Fraser, a redheaded soldier. Originally published in 1991.",https://www.amazon.com/Outlander-Diana-Gabaldon/dp/0440212561?tag=NYTBS-20,,,English-speaking area,2004-10-26
OUTLAW PLATOON,Sean Parnell;John R. Bruning,9780062066411,0062066412,4.0,,An account of the Army 10th Mountain Division’s 16 months of combat in the mountains of Afghanistan by a young U.S. Ranger who commanded an infantry platoon.,https://www.amazon.com/Outlaw-Platoon-Renegades-Brotherhood-Afghanistan-ebook/dp/B005LC0S7W?tag=NYTBS-20,,"Counterinsurgency, United States, American Personal narratives, United States. Army. Mountain Division, 10th, Afghan War, 2001-, Officers, Biography, History",English-speaking area,
OUTLIERS,Malcolm Gladwell,9780316017923,0316017922,5.0,,"Why some people succeed, from the author of “Blink.”",https://www.amazon.com/Outliers-Story-Success-Malcolm-Gladwell/dp/0316017930?tag=NYTBS-20,,"Successful people., Success., Case studies",English-speaking area,
OUTRAGE,John Sandford;Michele Cook,9780385753128,,4.0,,,https://www.amazon.com/Outrage-The-Singular-Menace-2/dp/0385753098?tag=NYTBS-20,,,English-speaking area,
OVER EASY,Mimi Pond,9781770461536,1770461531,1.0,,"An art–school dropout gets a job at a diner in this semi–autobiographical portrait of life in Oakland, Calif. during the late 1970s.",https://www.amazon.com/Over-Easy-Mimi-Pond/dp/1770461531?tag=NYTBS-20,,"Women food service employees, Women art students, Comic books, strips, Restaurants",English-speaking area,
OVER THE TOP,Jonathan Van Ness,9780062906373,0062906372,4.0,,"How the hairstylist, comedian and ""Queer Eye"" star overcame ridicule and trauma.",https://www.amazon.com/Over-Top-Raw-Journey-Self-Love/dp/0062906372?tag=NYTBS-20,,,English-speaking area,2019-09-24
OZMA OF OZ,Eric Shanower;Skottie Young,9780785142478,0785142479,4.0,,"In this adaptation of the third book of Oz, Dorothy’s adventure begins again with Billina, a talking chicken. Along the way, she meets the Wheelers: men with wheels instead of hands and feet.",https://www.amazon.com/Ozma-Oz-Eric-Shanower/dp/0785142479?tag=NYTBS-20,,,English-speaking area,2011-09-21
Oathbringer,Brandon Sanderson ;Kate Reading (Narrator);Michael Kramer (Narrator);Macmillan Audio (Publisher),,,4.0,4.8,,,,"[""Books"",""Literature & Fiction"",""Action & Adventure"",""Fantasy""]",,
"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, 3)",Brandon Sanderson,9780765326379,076532637X,37.0,4.8,The third volume of the Stormlight Archive. The War of Reckoning ends and the Voidbringers return.,https://www.amazon.com/Oathbringer-Book-Three-Stormlight-Archive-ebook/dp/B01NAWAH85?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",English-speaking area,2017-11-14
Obama: An Intimate Portrait,Pete Souza,,,48.0,4.9,,,,,,2017-11-07
ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,Nick J. Tate,,,79.0,3.9,,,,,,
Ocean Prey,John Sandford ;Richard Ferrone (Narrator);Penguin Audio (Publisher),,,96.0,4.7,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Suspense""]",,
Of Mice and Men,John Steinbeck,,0140177396,13.0,4.7,,,,"Literature: Classics, Fiction, Literature - Classics / Criticism, Classics, Fiction / Literary",,
Of Mice and Men,John Steinbeck,,0140177396,13.0,4.7,,,,"Literature: Classics, Fiction, Literature - Classics / Criticism, Classics, Fiction / Literary",,2011-04-13
Of Mice and Men,John Steinbeck ;Gary Sinise (Narrator);Penguin Audio (Publisher),,,89.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Small Town & Rural""]",,
Of Mice and Men,John Steinbeck ;Gary Sinise (Narrator);Penguin Audio (Publisher),,,89.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Small Town & Rural""]",,2011-04-13
Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,,0140186425,64.0,4.7,,,,"Fiction, general, People with disabilities, fiction, Friendship, fiction, California, fiction",,1994-02-01
