title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,country_of_publication,year
#ASKGARYVEE,Gary Vaynerchuk,9780062273123,0062273124,5.0,,,https://www.amazon.com/AskGaryVee-Entrepreneurs-Leadership-Social-Self-Awareness/dp/0062273124?tag=NYTBS-20,,,English-speaking area,2016-03-08
#GIRLBOSS,Sophia Amoruso,9780399169274,039916927X,2.0,,,https://www.amazon.com/GIRLBOSS-Sophia-Amoruso/dp/039916927X?tag=NYTBS-20,,,English-speaking area,2014-05-06
10% HAPPIER,Dan Harris,9780062265425,0062265423,2.0,,"A co-anchor of ""Nightline"" reports on the science and spiritual basis of meditation, and describes how it has improved his life.",https://www.amazon.com/10?tag=NYTBS-20,,,English-speaking area,2014-03-11
10-DAY GREEN SMOOTHIE CLEANSE,J. J. Smith,9780982301821,0982301820,4.0,,Beverages of combined leafy greens and fruits are the basis for a weight loss and health plan.,https://www.amazon.com/10-Day-Green-Smoothie-Cleanse-Smith/dp/1501100106?tag=NYTBS-20,,,English-speaking area,2014-02-09
10-Day Green Smoothie Cleanse,J. J. Smith,,9781501100109,6.0,4.7,,,,"[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]",,
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,J. J. Smith,,,93.0,4.7,,,,,,2015-01-05
"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",Jade Summer,,1079520015,4.0,4.6,,,,"[""Books"",""Arts & Photography"",""Graphic Design""]",,2019-07-15
"100 BULLETS: DELUXE EDITION, BOOK FOUR",Brian Azzarello;Eduardo Risso,9781401238070,1401238076,4.0,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 59 through 80.",https://www.amazon.com/100-Bullets-Deluxe-Edition-Book/dp/1401238076?tag=NYTBS-20,,"Murder, Gangs, Comic books, strips, Revenge",English-speaking area,2013
"100 BULLETS: DELUXE EDITION, BOOK THREE",Brian Azzarello;Edward Risso,9781401237295,1401237290,2.0,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 37 through 58.",https://www.amazon.com/100-Bullets-Deluxe-Edition-Three/dp/1401237290?tag=NYTBS-20,,"Crime, Comic books, strips",English-speaking area,
100 DAYS OF REAL FOOD,Lisa Leake,9780062252555,0062252550,2.0,,"Wholesome, family-friendly recipes that are easy to prepare.",https://www.amazon.com/100-Days-Real-Food-Wholesome/dp/0062252550?tag=NYTBS-20,,"Nutrition, Food habits, Processed foods, Natural foods",English-speaking area,2014-08-26
100 DEADLY SKILLS,Clint Emerson,9781476796055,147679605X,2.0,,"The SEAL Operative's guide to eluding pursuit, capture and all manner of unseen danger.",https://www.amazon.com/100-Deadly-Skills-Operatives-Surviving/dp/147679605X?tag=NYTBS-20,,"United States, Survival, United States. Navy. SEALs, Combat survival, Handbooks, manuals",English-speaking area,
"100 Flowers: An Adult Coloring Book with Bouquets, Wreaths, Swirls, Patterns, Decorations, Inspirational Designs, and Much More!",Jade Summer,,1661264107,1.0,4.7,,,,"[""Books"",""Arts & Photography"",""Graphic Design""]",,2020-01-16
1000 DOT-TO-DOT: CITIES,Thomas Pavitte,9781626860667,1626860661,4.0,,"A graphic designer known for his 6,239 dot version of the Mona Lisa offers twenty exotic locations for adults to complete as line art.",https://www.amazon.com/1000-Dot-Dot-Thomas-Pavitte/dp/1626860661?tag=NYTBS-20,,,English-speaking area,2014-08-01
101 DOG TRICKS,Kyra Sundance;Chalcy,9781592533251,1592533256,2.0,,"A dog trainer shares advice and activities to engage, challenge and bond with your dog.",https://www.amazon.com/101-Dog-Tricks-Activities-Challenge/dp/1592533256?tag=NYTBS-20,,"Dogs, Dogs - General, Pets / General, Pets",English-speaking area,2007-04
"101 So Bad, They're Good Dad Jokes",Elias Hill,,1973749122,1.0,4.4,,,,"[""Books"",""Humor & Entertainment"",""Humor""]",,2017-07-20
"101 So Bad, They're Good Dad Jokes: Golf Edition",Elias Hill,,1977841651,98.0,4.4,,,,"[""Books"",""Humor & Entertainment"",""Humor""]",,2017-10-02
1022 EVERGREEN PLACE,Debbie Macomber,9780778328063,0778328066,1.0,,A growing romance in a small town; the 10th Cedar Grove novel.,https://www.amazon.com/1022-Evergreen-Place-Cedar-Cove/dp/0778328066?tag=NYTBS-20,,,English-speaking area,2010-08-31
108 STITCHES,Ron Darling;Daniel Paisner,9781250184382,,5.0,,,https://www.amazon.com/108-Stitches-Threads-Darndest-Characters/dp/125018438X?tag=NYTBS-20,,,English-speaking area,2019-04-02
10TH ANNIVERSARY,James Patterson;Maxine Paetro,9780316036269,0316036269,2.0,,Detective Lindsay Boxer’s long-awaited wedding celebration becomes a distant memory when the Women’s Murder Club is called in to find a missing baby.,https://www.amazon.com/10th-Anniversary-Womens-Murder-Club/dp/1455511463?tag=NYTBS-20,"Little, Brown",,English-speaking area,2011-05-02
11/22/63,Stephen King,9781451627282,1451627289,1.0,,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,https://www.amazon.com/11-22-63-A-Novel/dp/1451627297?tag=NYTBS-20,Scribner,"Assassination, Time travel, Fiction",English-speaking area,2011-11-08
11/22/63: A Novel,Stephen King,,,19.0,4.7,,,,,,2016-01-26
1105 YAKIMA STREET,Debbie Macomber,9780778312512,0778312518,3.0,,"Bruce Peyton’s pregnant wife has left him, and he’s not the only one in town with problems; Book 11 of the Cedar Cove series.",https://www.amazon.com/1105-Yakima-Street-Cedar-Cove-ebook/dp/B005DB89GI?tag=NYTBS-20,,"Cedar Cove (Wash. : Imaginary place), Fiction",English-speaking area,
11TH HOUR,James Patterson;Maxine Paetro,9780316097482,0316097489,4.0,,Detective Lindsay Boxer and the Women’s Murder Club investigate a possible serial killer.,https://www.amazon.com/11th-Hour-Womens-Murder-Club/dp/0446571830?tag=NYTBS-20,"Little, Brown","San francisco (calif.), fiction, Man-woman relationships, fiction, Fiction, mystery & detective, women sleuths, Women's murder club (imaginary organization), fiction, Fiction, thrillers, general",English-speaking area,2012-05-07
"12 BEAST, VOL. 2",OKAYADO,9781626921788,1626921784,3.0,,Eita Touga is talented but unambitious ninja. He would rather sit and play video games than take over the family dojo. Until an unexpected visitor takes him to another dimension!,https://www.amazon.com/12-Beast-Vol-2-OKAYADO/dp/1626921784?tag=NYTBS-20,,,English-speaking area,2015-07-07
"12 BEAST, VOL. 3",OKAYADO,9781626922617,1626922616,3.0,,"Eita Touga, a talented but unambitious ninja, suddenly finds himself in a fantastical realm that is in danger of being invaded by a more technologically-advanced empire.",https://www.amazon.com/12-Beast-Vol-3-OKAYADO/dp/1626922616?tag=NYTBS-20,,"Comics & graphic novels, manga, fantasy",English-speaking area,2016-02-09
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,,0141988517,1.0,4.8,,,,"[""Books"",""Business & Money"",""Job Hunting & Careers""]",,
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,,0141988517,1.0,4.8,,,,"[""Books"",""Business & Money"",""Job Hunting & Careers""]",,2018-03
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson ;Narrator);Norman Doidge   ;Random House Canada (Publisher),,,1.0,4.8,,,,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling"",""Applied Psychology""]",,
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson ;Narrator);Norman Doidge   ;Random House Canada (Publisher),,,1.0,4.8,,,,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling"",""Applied Psychology""]",,2018-03
12 Years A Slave,Solomon Northup,,,39.0,4.6,,,,"[""Books"",""Politics & Social Sciences"",""Social Sciences""]",,
12 Years a Slave,Solomon Northup,,1631680021,50.0,4.6,,,,"[""Books"",""Politics & Social Sciences"",""Social Sciences""]",,2008-10
1225 CHRISTMAS TREE LANE,Debbie Macomber,9780778312697,0778312690,3.0,,Puppies that need good homes and an ex-husband loom large in the last installment of the Cedar Cove series.,https://www.amazon.com/1225-Christmas-Tree-Lane-Cedar/dp/0778312690?tag=NYTBS-20,Mira,"Mothers and daughters, Divorced mothers, Cedar Cove (Wash. : Imaginary place), Fiction",English-speaking area,2011-09-27
12TH OF NEVER,James Patterson;Maxine Paetro,9780316210829,031621082X,1.0,,"One week after the birth of her baby, Detective Lindsay Boxer must return to work to investigate a string of grisly murders; a Women’s Murder Club novel. ",https://www.amazon.com/12th-Never-Womens-Murder-Club/dp/1455515795?tag=NYTBS-20,"Little, Brown",,English-speaking area,2013-04-29
13 BANKERS,Simon Johnson;James Kwak,9780307379054,0307379051,5.0,,A call for the restructuring of the banking industry.,https://www.amazon.com/13-Bankers-Takeover-Financial-Meltdown/dp/0307379051?tag=NYTBS-20,,,English-speaking area,2010
13 HOURS,Mitchell Zuckoff;members of the Annex Security Team,9781455538393,1455538396,2.0,,"An account by American security personnel of their battle against the terrorists during the attack on the State Department compound in Benghazi, Libya, in 2012.",https://www.amazon.com/13-Hours-Account-Happened-Benghazi-ebook/dp/B00LEWR0SS?tag=NYTBS-20,,,English-speaking area,2015-11-24
1356,Bernard Cornwell,,,11.0,,"In the fourth book of the Grail Quest series, the English and French face off at the Battle of Poitiers.",http://www.amazon.com/1356-A-Novel-Bernard-Cornwell/dp/0061969672?tag=NYTBS-20,Harper/HarperCollins,,,2013-06-06
1491,Charles C. Mann,9781400032051,1400032059,5.0,,A portrait of pre-Columbian life in the Americas.,https://www.amazon.com/1491-Revelations-Americas-Before-Columbus/dp/1400032059?tag=NYTBS-20,,"Native Americans - History, History, History - General History, History: World, North American, Americas (North Central South West Indies), Native American, History / Native American, Ecology, Antiquities, Indians, Origin",English-speaking area,2006-10-10
1493,Charles C. Mann,9780307265722,0307265722,4.0,,"Picking up where “1491” left off, the author says that ecological encounters since Columbus have affected much of subsequent human history.",https://www.amazon.com/1493-Uncovering-World-Columbus-Created-ebook/dp/B004G606EY?tag=NYTBS-20,,,English-speaking area,2011
14TH DEADLY SIN,James Patterson;Maxine Paetro,9780316407021,031640702X,1.0,,"A video of a shocking crime surfaces, casting suspicion on a San Francisco detective's colleagues.",https://www.amazon.com/14th-Deadly-Womens-Murder-Club/dp/031640702X?tag=NYTBS-20,"Little, Brown","Murder, Police, Policewomen, Fiction, Women's Murder Club (Imaginary organization), Investigation, Suspense, Spree murderers, Thrillers, FICTION, Friendship",English-speaking area,2015-05-04
15 INVALUABLE LAWS OF GROWTH,John C. Maxwell,9781599953663,1599953668,1.0,,Tried and true principles to help our personal development.,https://www.amazon.com/The-Invaluable-Laws-Growth-Potential/dp/1599953668?tag=NYTBS-20,,"Self-perception, Self-actualization (Psychology), Self-consciousness (Awareness)",English-speaking area,2012-10-02
15 SECONDS,Andrew Gross,,,18.0,,,http://www.amazon.com/15-Seconds-Andrew-Gross/dp/006165597X?tag=NYTBS-20,Morrow,,,
15TH AFFAIR,James Patterson;Maxine Paetro,9780316290050,031629005X,1.0,,"When a brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, she turns for help to the Women’s Murder Club.",https://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,"Little, Brown","Women's murder club (imaginary organization), fiction, Policewomen, fiction, San francisco (calif.), fiction, Fiction, mystery & detective, police procedural, Fiction, mystery & detective, women sleuths",English-speaking area,
16TH SEDUCTION,James Patterson;Maxine Paetro,9780316274036,0316274038,1.0,,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20,"Little, Brown","Women's Murder Club (Imaginary organization), Investigation, Murder, Fiction, Policewomen",English-speaking area,2017-05-01
1984,George Orwell,,0452262933,89.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,
1984,George Orwell,,0452262933,89.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,
1984,George Orwell,,0452262933,89.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,
1984,George Orwell ;Benjamin May (Narrator);Page2;Page (Publisher),,,36.0,4.7,,,,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Dystopian""]",,
1984,George Orwell ;Benjamin May (Narrator);Page2;Page (Publisher),,,36.0,4.7,,,,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Dystopian""]",,
1984,George Orwell ;Benjamin May (Narrator);Page2;Page (Publisher),,,36.0,4.7,,,,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Dystopian""]",,
1984,George Orwell ;Charlton Griffin (Narrator);Audio Connoisseur (Publisher),,,84.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Political""]",,
1984,George Orwell ;Charlton Griffin (Narrator);Audio Connoisseur (Publisher),,,84.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Political""]",,
1984,George Orwell ;Charlton Griffin (Narrator);Audio Connoisseur (Publisher),,,84.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Political""]",,
1984 (Signet Classics),George Orwell,,,84.0,4.7,,,,,,2017-07-26
1Q84,Haruki Murakami,9780307593313,0307593312,2.0,,"In 1980s Tokyo, a woman who punishes perpetrators of domestic violence has ties to an aspiring novelist with an unusual project.",https://www.amazon.com/1Q84-Haruki-Murakami-ebook/dp/B004LROUW2?tag=NYTBS-20,Knopf,,English-speaking area,2011-10-25
1Q84: A novel,Haruki Murakami,,,61.0,4.3,,,,,,2011-10-25
20 YEARS YOUNGER,Bob Greene;Howard Lancer;Ronald L. Kotler;Diane L. McKay,9780316133784,0316133787,2.0,,"Feeling better as you age by addressing exercise, diet, sleep and skin care.",https://www.amazon.com/20-Years-Younger-Look-Feel/dp/0316133787?tag=NYTBS-20,,,English-speaking area,2011-04-26
"200 Must Know Sight Words Activity Workbook: Learn, Trace & Practice The 200 Most Common High Frequency Words For Kids Learning To Write & Read. | Ages 5-8",Smart Kids Notebooks,,,1.0,4.7,,,,"[""Books"",""Children's Books"",""Education & Reference""]",,2020-03-08
2010 TAKE BACK AMERICA,Dick Morris;Eileen McGann,9780061988448,0061988448,4.0,,The most vulnerable incumbent Democrats and how to defeat them.,https://www.amazon.com/2010-Take-America-Dick-Morris/dp/0061988448?tag=NYTBS-20,,,English-speaking area,2010-04-13
2030,Albert Brooks,,,16.0,,"In 2030, the young resent the elderly for draining the weakening economy, and a devastating earthquake in Los Angeles tests the administration of the country’s first Jewish president.",http://www.amazon.com/2030-Real-Story-Happens-America-ebook/dp/B004OA62WC?tag=NYTBS-20,St. Martin's,,,
206 BONES,Kathy Reichs,,,4.0,,Temperance Brennan is accused of mishandling an autopsy.,http://www.amazon.com/206-Bones-Novel-Temperance-Brennan-ebook/dp/B001NLL7K2?tag=NYTBS-20,Scribner,,,2016-10-11
"20TH CENTURY BOYS, VOL. 20",Naoki Urasawa,9781421535388,1421535386,2.0,,"From the publisher: ""Darkness covers the earth, and the world is under the control of evil."" Who will rise up to fight for good?",https://www.amazon.com/Naoki-Urasawas-20th-Century-Boys/dp/1421535386?tag=NYTBS-20,,"Comics & graphic novels, manga, science fiction, Comics & graphic novels, manga, crime & mystery",English-speaking area,2012-04-17
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,9780525512172,0525512179,2.0,,"Technological, political and social issues in the modern era, and the choices individuals might consider in facing them.",https://www.amazon.com/Lessons-21st-Century-Yuval-Harari/dp/0525512179?tag=NYTBS-20,,"World politics, Modern Civilization",English-speaking area,2018-09-04
21st Birthday,James Patterson ;Maxine Paetro ;January LaVoy (Narrator);Little;Brown;Company (Publisher),,,17.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery"",""Police Procedurals""]",,
21st Birthday (Women's Murder Club),James Patterson;Maxine Paetro,,,48.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,2021-03-04
"21st Birthday (Women's Murder Club, 21)",James Patterson;Maxine Paetro,,031649934X,26.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,2021-03-04
2312,Kim Stanley Robinson,,,20.0,,,http://www.amazon.com/2312-Kim-Stanley-Robinson/dp/0316098124?tag=NYTBS-20,Orbit,,,
365 Bedtime Stories and Rhymes,Cottage Door Press,,1680524046,2.0,4.8,,,,"[""Books"",""Children's Books"",""Literature & Fiction""]",,
4 3 2 1,Paul Auster,,,13.0,,Four versions of the formative years of a Jewish boy born in Newark in 1947.,https://www.amazon.com/4-3-2-1-Novel/dp/1627794468?tag=NYTBS-20,Holt,,,2017-01-31
4 ESSENTIALS OF ENTREPRENEURIAL THINKING,Cliff Michaels,9780615450551,0615450555,3.0,,Learning from “what successful people didn’t learn in school.”,https://www.amazon.com/The-Essentials-Entrepreneurial-Thinking-Successful/dp/0615450555?tag=NYTBS-20,,,English-speaking area,2012-01
4-HOUR WORKWEEK,Timothy Ferriss,9780307381378,0307381374,4.0,,Reconstructing your life so that it’s not all about work.,https://www.amazon.com/Georgia-Cooking-Oklahoma-Kitchen-Recipes/dp/0307381374?tag=NYTBS-20,,"Regional & Ethnic - American - Southern States, Cooking / American / Southern States, Cooking, Cooking / Wine",English-speaking area,2008
40 CHANCES,Howard G. Buffett;Howard W. Buffett,9781451687866,1451687869,5.0,,What Warren Buffett’s son and grandson have learned in their efforts to feed the hungry.,https://www.amazon.com/40-Chances-Finding-Hungry-World/dp/1451687869?tag=NYTBS-20,,"Humanitarianism, Food relief, Agricultural development projects, Hunger",English-speaking area,2013-10-22
400 CALORIE FIX,Liz Vaccariello;Mindy Hermann,9781605294940,1605294942,4.0,,A diet guide with a straightforward task: controlling calorie intake.,https://www.amazon.com/400-Calorie-Fix-Permanent-Weight/dp/1605294942?tag=NYTBS-20,,,English-speaking area,2010-12-21
41,George W. Bush,9780553447781,0553447785,1.0,,"The 43rd president’s portrait of his father, George H. W. Bush, the 41st.",https://www.amazon.com/41-A-Portrait-My-Father/dp/0553447785?tag=NYTBS-20,,,English-speaking area,2014-11-11
41: A Portrait of My Father,George W. Bush,,,56.0,4.7,,,,,,
44 CHARLES STREET,Danielle Steel,9780385343145,0385343140,4.0,,The owner of a Greenwich Village town house takes in boarders and bonds with her tenants.,https://www.amazon.com/44-Charles-Street-A-Novel/dp/0440245176?tag=NYTBS-20,Delacorte,,English-speaking area,2011
48 Laws of Power,Robert Greene ;Richard Poe (Narrator);HighBridge;a Division of Recorded Books (Publisher),,,3.0,4.7,,,,"[""Books"",""Politics & Social Sciences"",""Politics & Government"",""Political Science"",""History & Theory""]",,
48 Laws of Power Robert and Joost Elffers Greene: Lined Hardcover 8.5 x 11 110 Pages,Robert Greene,,1804220256,2.0,4.7,,,,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",,
5 Ingredients: Quick & Easy Food,Jamie Oliver,,1250303885,6.0,4.6,,,,"[""Books"",""Cookbooks, Food & Wine"",""Cooking Methods""]",,2017-08-24
5 VERY GOOD REASONS TO PUNCH A DOLPHIN IN THE MOUTH,The Oatmeal,9781449401160,1449401163,5.0,,Comics from the Web site.,https://www.amazon.com/Reasons-Punch-Dolphin-Useful-Guides/dp/1449401163?tag=NYTBS-20,,,English-speaking area,2011-03-01
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,,,40.0,4.8,,,,,,2024
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,,,40.0,4.8,,,,,,2024
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Kids,,9781426310492,1.0,4.8,,,,"Handbooks, vade-mecums, Curiosities and wonders, Juvenile literature",,2024
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Kids,,9781426310492,1.0,4.8,,,,"Handbooks, vade-mecums, Curiosities and wonders, Juvenile literature",,2024
50 CHILDREN,Steven Pressman,9780062237491,0062237497,1.0,,How a Philadelphia couple traveled to Germany in 1939 and rescued 50 Jewish children by bringing them to America; based on the 2013 HBO documentary.,https://www.amazon.com/50-Children-Ordinary-American-Extraordinary-ebook/dp/B00FJ34YLO?tag=NYTBS-20,,,English-speaking area,2014-04-22
50 Shades Of Bullsh*t,Adult Coloring Books ;Swear Word Coloring Book ;Adult Colouring Books,,1945260793,92.0,4.6,,,,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]",,2020-11-26
50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,Alex Fleming,,2376190029,4.0,4.6,,,,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]",,2016-05-10
"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",National Geographic;Joe Yogerst,,9781426216909,1.0,4.6,,,,"Museums, Memorials, Historic sites, Guidebooks, National parks and reserves, Description and travel",,
"50 YEARS, 50 MOMENTS",Jerry Rice;Randy O. Williams,9780062302601,0062302604,3.0,,,https://www.amazon.com/50-Years-Moments-Unforgettable-History/dp/0062302604?tag=NYTBS-20,,"Super Bowl, History",English-speaking area,2015-11-03
5TH WAVE,Rick Yancey,9780399162435,0399162437,1.0,,A resistance force of teenage soldiers rises up when invaders threaten life on Earth.,https://www.amazon.com/Last-Star-Final-Book-Wave/dp/0399162437?tag=NYTBS-20,,"Extraterrestrial beings, Science fiction, Survival, War, Fiction",English-speaking area,2016-05-24
61 HOURS,Lee Child,9780385340588,0385340583,1.0,,Jack Reacher helps the police in a small South Dakota town protect a witness in a drug trial.,https://www.amazon.com/61-Hours-Jack-Reacher-Novel/dp/0440243696?tag=NYTBS-20,Delacorte,,English-speaking area,2010
63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ,Jesse Ventura;Dick Russell,9781616082260,1616082267,4.0,,The former governor of Minnesota implores Americans to challenge government secrecy.,https://www.amazon.com/Documents-Government-Doesnt-Want-Read/dp/1616082267?tag=NYTBS-20,,,English-speaking area,2011-04-04
7 LESSONS FROM HEAVEN,Mary C. Neal,9780451495426,045149542X,5.0,,,https://www.amazon.com/Lessons-Heaven-Dying-Taught-Joy-Filled/dp/045149542X?tag=NYTBS-20,,"Trust in God, Near-death experiences, Heaven, Religion and science, Faith and reason, Thought and thinking, Christianity",English-speaking area,2017-09-19
7 MILES A SECOND,David Wojnarowicz;James Romberger,9781606996140,1606996142,5.0,,This is the autobiographical tale of David Wojnarowicz — about life as a hustler on the streets of New York City and living with AIDS.,https://www.amazon.com/7-Miles-Second-David-Wojnarowicz/dp/1606996142?tag=NYTBS-20,,,English-speaking area,
7 Ways: Easy Ideas for Every Day of the Week [American Measurements],Jamie Oliver,,1250787572,9.0,4.7,,,,"[""Books"",""Cookbooks, Food & Wine"",""Cooking by Ingredient""]",,
7 YEARS YOUNGER,the editors of Good Housekeeping,9781936297634,1936297639,3.0,,A combination of beauty plan and diet-and-fitness program.,https://www.amazon.com/Years-Younger-Revolutionary-7-Week-Anti-Aging/dp/1936297639?tag=NYTBS-20,,"SELF-HELP / Aging, Aging, Health and hygiene, Rejuvenation, HEALTH & FITNESS / Beauty & Grooming, HEALTH & FITNESS / Diets, Longevity, Prevention, Older people, Exercise",English-speaking area,2013-01-01
77 SHADOW STREET,Dean Koontz,9780553807714,0553807714,4.0,,"A 19th-century tycoon’s mansion has been turned into luxury apartments, but it remains in the grip of evil forces.",https://www.amazon.com/Shadow-Street-bonus-novella-Moonlit/dp/0553593064?tag=NYTBS-20,Bantam,,English-speaking area,2011
99 DAYS,Katie Cotugno,9780062216403,0062216406,5.0,,,https://www.amazon.com/99-Days-Katie-Cotugno-ebook/dp/B00M707E1O?tag=NYTBS-20,,"Children's fiction, Youth, fiction, Dating (social customs), fiction",English-speaking area,2015-04-21
A BALL FOR DAISY,Chris Raschka,9780375858611,037585861X,3.0,,Daisy’s favorite ball is destroyed by a bigger dog; a 2012 Caldecott winner.,https://www.amazon.com/Ball-Daisy-Caldecott-Medal-Winner/dp/037585861X?tag=NYTBS-20,,,English-speaking area,
A BANQUET OF CONSEQUENCES,Elizabeth George,9780525954330,0525954333,4.0,,"Can a suicide in Dorset be connected to a poisoning in Cambridge? In the 19th novel in a series, the Scotland Yard detectives Thomas Lynley and Barbara Havers investigate.",https://www.amazon.com/Banquet-Consequences-Lynley-Novel/dp/0525954333?tag=NYTBS-20,Viking,"Barbara Havers (Fictitious character), Murder, Police, Investigation, Kriminalroman, Amerikanisches Englisch, Fiction",English-speaking area,
A BAXTER FAMILY CHRISTMAS,Karen Kingsbury,,,6.0,,A story of love and redemption featuring the Baxter family.,https://www.amazon.com/Baxter-Family-Christmas-Karen-Kingsbury/dp/1451687567?tag=NYTBS-20,Howard Books,,,
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,9781683691136,168369113X,2.0,,An illustrated treasury of 75 songs.,https://www.amazon.com/Beautiful-Day-Neighborhood-Poetry-Mister/dp/168369113X?tag=NYTBS-20,,,English-speaking area,2019-03-19
A BEAUTIFUL FUNERAL,Jamie McGuire,A00B01GJ5LT0O,,4.0,,"Amid strife and divisions, the Maddox clan gathers to bury one of their own.",https://www.amazon.com/Beautiful-Funeral-Novel-Maddox-Brothers/dp/1534623574?tag=NYTBS-20,,,,2016-08-15
A BETTER MAN,Louise Penny,9781250066213,1250066212,1.0,,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,https://www.amazon.com/Better-Man-Chief-Inspector-Gamache/dp/1250066212?tag=NYTBS-20,,,English-speaking area,
A BIG GUY TOOK MY BALL!,Mo Willems,9781423174912,1423174917,1.0,,Someone stole Piggie’s ball. That is not right. ,https://www.amazon.com/Took-Ball-Elephant-Piggie-Book/dp/1423174917?tag=NYTBS-20,,"Play, Animals, Elephants, Whales, Juvenile fiction, Fiction, Pigs, Swine, Friendship",English-speaking area,2013-05-21
A BLAZE OF GLORY,Jeff Shaara,,,7.0,,A re-creation of the Battle of Shiloh in 1862.,http://www.amazon.com/Blaze-Glory-Novel-Battle-Shiloh/dp/0345527356?tag=NYTBS-20,Ballantine,,,
"A BRIDE'S STORY, VOL. 4",Kaoru Mori,9780316232036,0316232033,3.0,,"The exploration of life on the nineteenth-century Silk Road continues. In this volume, meet Laila and Leily, identical twins on the search for husbands.",https://www.amazon.com/A-Brides-Story-Vol-4/dp/0316232033?tag=NYTBS-20,,,English-speaking area,2013-01-22
"A BRIDE'S STORY, VOL. 5",Kaoru Mori,9780316243094,0316243094,3.0,,"Laila and Leily's wedding day finally arrives, but will the ceremony and their grooms live up to their expectations?",https://www.amazon.com/A-Brides-Story-Vol-5/dp/0316243094?tag=NYTBS-20,,"Arranged marriage, Comic books, strips, History",English-speaking area,2013-09-24
A BRIEF HISTORY OF SEVEN KILLINGS,Marlon James,9781594633942,1594633940,5.0,,"This novel uses the attempted assassination of Bob Marley in 1976 to explore Jamaican politics, poverty, gang wars and drug trafficking; the winner of this year's Man Booker Prize.",https://www.amazon.com/Brief-History-Seven-Killings-Novel/dp/1594633940?tag=NYTBS-20,,,English-speaking area,
A BRIEF HISTORY OF TIME,Stephen Hawking,9780553380163,0553380168,5.0,,The British cosmologist reviews efforts to create a unified theory of the universe.,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?tag=NYTBS-20,,,English-speaking area,
A BRUSH OF WINGS,Karen Kingsbury,,,10.0,,Book 3 in the Angels Walking series.,http://www.amazon.com/Brush-Wings-Novel-Angels-Walking-ebook/dp/B010MHAWKS?tag=NYTBS-20,Howard,,,2017-02-07
A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,,1099617200,2.0,4.5,,,,"[""Books"",""Business & Money"",""Investing""]",,
