author,birth_date,birth_place,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Kim Harrison,,,,Fantasy_literature,,,TRUE,
Christina Baker Kline,,,,,,,FALSE,
Kate DiCamillo,25/03/1964,,,Children's_literature,,,TRUE,
Fatima Farheen Mirza,10/04/1991,,,,,,TRUE,
Bethenny Frankel,04/11/1970,,,,,,TRUE,
John Lescroart,14/01/1948,,,Thriller_(genre),,,TRUE,
David Spade,22/07/1964,,,,,,TRUE,
Terry Brooks,,,,,,,TRUE,
Jeff Zinn,04/12/1949,,,,,,TRUE,
Barack Obama,,,,,,,TRUE,
Alan Bradley,,,,,,,TRUE,
Robert Goolrick,04/08/1948,,29/04/2022,,,,TRUE,
Elizabeth Peters,,,,,,,FALSE,
Johanna Lindsey,10/03/1952,,27/10/2019,,,,TRUE,
Mary Balogh,,,,,,,FALSE,
Tatiana de Rosnay,28/09/1961,,,,,,TRUE,
Lemony Snicket,,,,,,,FALSE,
Craig Johnson,,,,,,,TRUE,
Laurell K Hamilton,,,,,,,FALSE,
David B Agus,,,,,,,FALSE,
Kristin Loberg,,,,,,,FALSE,
Christopher Lascelles,,,,,,,FALSE,
Philip C Stead,,,,,,,FALSE,
Yoshitoki Oima,,,,,,,FALSE,
Mike Huckabee,24/08/1955,,,,,,TRUE,
Jodi Picoult,,,,,,,TRUE,
Anne Tyler,25/10/1941,,,Literary_realism,,,TRUE,
Ben Macintyre,25/12/1963,,,,,,TRUE,
Richard Paul Evans,11/10/1962,,,,,,TRUE,
Jaycee Dugard,05/04/1951,,,,,,TRUE,
Shari Lapena,,,,,,,FALSE,
Garth Stein,06/12/1964,,,,,,TRUE,
Elin Hilderbrand,,,,,,,FALSE,
Anne Perry,26/05/1938,,,,,,TRUE,
Zhang Ling,28/10/1989,,,,,,TRUE,
James Bowen,,,,,,,TRUE,
Chris Colfer,27/05/1990,,,,,,TRUE,
Marlena De Blasi,,,,,,,FALSE,
Marlena de Blasi,,,,,,,FALSE,
Mary Oliver,,,,,,,FALSE,
Khaled Hosseini,04/03/1965,,,Fiction,,,TRUE,
Abigail Thomas,,,,,,,FALSE,
Dale Brown,02/11/1956,,,Thriller_(genre),,,TRUE,
Sabaa Tahir,,,,Fantasy,,,TRUE,
Charlaine Harris,,,,,,,FALSE,
Caroline Moorehead,28/10/1944,,,,,,TRUE,
John Grisham,08/02/1955,,,,,,TRUE,
Michael Beck,,,,,,,TRUE,
Scarlett St. Clair,,,,,,,FALSE,
edited  Maria Popova,,,,,,,FALSE,
