title,author,rank,description,publisher,amazon_product_url
THE HOST,Stephenie Meyer,2,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
PLAGUE SHIP,Clive Cussler with Jack Du Brul,3,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,Putnam,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,4,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
BLOOD NOIR,Laurell K Hamilton,5,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,Berkley,http://www.amazon.com/Blood-Anita-Blake-Vampire-Hunter/dp/0515146374?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,6,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
ODD HOURS,Dean R Koontz,7,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,8,A woman finds an unexpected love.,"Little, Brown",http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20
DEATH AND HONOR,W E B Griffin and William E Butterworth IV,9,A Marine pilot spies in  Argentina in 1943; the fourth book in the Honor Bound series.,Putnam,http://www.amazon.com/Death-Honor-Bound-Book/dp/0515146382?tag=NYTBS-20
SNUFF,Chuck Palahniuk,10,An aging porn queen aims to have sex on film with 600 men.,Doubleday,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20
DEVIL MAY CARE,Sebastian Faulks,11,James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.,Doubleday,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20
PHANTOM PREY,John Sandford,12,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,Putnam,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20
SHADOW OF POWER,Steve Martini,13,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,Morrow,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20
THE FRONT,Patricia Cornwell,14,A Massachusetts state investigator and his team from “At Risk” confront a rogue association of municipal police departments.,Putnam,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,15,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
