title,author,rank,description,publisher,amazon_product_url
THE HUSBAND'S SECRET,Liane Moriarty,19,A successful businesswoman and devoted wife and mother finds a letter that throws everything she's believed into doubt.,Amy Einhorn/Putnam,http://www.amazon.com/The-Husbands-Secret-Liane-Moriarty-ebook/dp/B00D7Z4GQY?tag=NYTBS-20
BITTERSWEET,Miranda Beverly-Whittemore,20,"Mabel, a scholarship student, is surprised when her blue-blooded roommate, Genevra Winslow,  invites her to spend the summer at the Winslow family's Vermont estate. It seems idyllic, but discovering the Winslows' secrets is dangerous.",Crown,http://www.amazon.com/Bittersweet-A-Novel-Miranda-Beverly-Whittemore/dp/0804138567?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,1,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons. ",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,2," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
UNLUCKY 13,James Patterson and Maxine Paetro,3,Detective Lindsay Boxer and the Women’s Murder Club track a killer who was presumed dead. ,"Little, Brown",http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/031621129X?tag=NYTBS-20
THE LINCOLN MYTH,Steve Berry,4,The ex-government operative Cotton Malone becomes involved in a dangerous conflict set in motion by the founding fathers.,Ballantine,http://www.amazon.com/The-Lincoln-Myth-Cotton-Malone-ebook/dp/B00F1W0DBI?tag=NYTBS-20
FIELD OF PREY,John Sandford,5,Lucas Davenport investigates when multiple bodies are found in the middle of the Minnesota cornfields.,Putnam,http://www.amazon.com/Field-Prey-John-Sandford-ebook/dp/B00FX7UL72?tag=NYTBS-20
THE TARGET,David Baldacci,6,The government hit man Will Robie faces a new adversary. ,Grand Central,http://www.amazon.com/Target-Will-Robie-David-Baldacci-ebook/dp/B00EHMFC78?tag=NYTBS-20
SNIPER'S HONOR,Stephen Hunter,7,"The former Marine sniper Bob Lee Swagger and his reporter friend, Kathy Reilly, search for information about a famous Russian sniper during World War II, a woman.  ",Simon & Schuster,http://www.amazon.com/Snipers-Honor-Bob-Lee-Swagger/dp/1451640234?tag=NYTBS-20
NATCHEZ BURNING,Greg Iles,8,"Penn Cage, a former prosecutor in Natchez, Miss., aids his father, a doctor who has been accused of murder. ",Morrow/HarperCollins,http://www.amazon.com/Natchez-Burning-Novel-Penn-Cage/dp/0062311077?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,9,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
THE SKIN COLLECTOR,Jeffery Deaver,10,The forensic detective Lincoln Rhyme hunts for a killer who tattoos messages on his victims’ flesh. ,Grand Central,http://www.amazon.com/The-Skin-Collector-Lincoln-Rhyme/dp/1455517135?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,11,"The relationship between a wealthy Charleston girl, Sarah Grimké, who will grow up to become a prominent abolitionist, and the slave she is given for her 11th birthday. ",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
THE SON,Jo Nesbo,12,"A drug-addicted prisoner learns a secret about his father, a corrupt cop who committed suicide, that inspires him to escape.",Knopf,http://www.amazon.com/The-Son-novel-Jo-Nesbo-ebook/dp/B00GVZV818?tag=NYTBS-20
CHESTNUT STREET,Maeve Binchy,13,"Binchy, who died in 2012, depicts ordinary lives in Dublin. ",Knopf,http://www.amazon.com/Chestnut-Street-Maeve-Binchy-ebook/dp/B00G8EKYFS?tag=NYTBS-20
WALKING ON WATER,Richard Paul Evans,14,"In the fifth and final book of the “Walk” series, Alan reaches Key West.",Simon & Schuster,http://www.amazon.com/Walking-Water-Novel-The-Walk-ebook/dp/B00DPM808Y?tag=NYTBS-20
THE LAST KIND WORDS SALOON,Larry McMurtry,15,The friendship of Wyatt Earp and Doc Holliday illuminates the closing of the American frontier.,Liveright,http://www.amazon.com/The-Last-Kind-Words-Saloon/dp/0871407868?tag=NYTBS-20
ANY OTHER NAME,Craig Johnson,16,"Sheriff Walt Longmire explores a detective’s mysterious death. The 11th book in the Longmire series, the basis of the A&E show.",Viking,http://www.amazon.com/Any-Other-Name-Longmire-Mystery-ebook/dp/B00G3L7U0S?tag=NYTBS-20
THE KILL SWITCH,James Rollins and Grant Blackwood,17,"In the first book of a new series, the former Army Ranger Tucker Wayne and his military dog, Kane, are recruited by Sigma Force to investigate a deadly biological threat.",Morrow/HarperCollins,http://www.amazon.com/The-Kill-Switch-Tucker-Novels-ebook/dp/B00DB30N3M?tag=NYTBS-20
DELICIOUS!,Ruth Reichl,18,The food writer and editor’s first novel concerns a woman who finds herself when the magazine where she works closes.,Random House,http://www.amazon.com/Delicious-A-Novel-Ruth-Reichl/dp/1400069629?tag=NYTBS-20
THE COLLECTOR,Nora Roberts,19,"After a writer and house-sitter observes what appears to be a murder/suicide, she and the victim's brother finds themselves targeted for death.",Putnam,http://www.amazon.com/The-Collector-Nora-Roberts/dp/0399164456?tag=NYTBS-20
THE HUSBAND'S SECRET,Liane Moriarty,20,A successful businesswoman and devoted wife and mother finds a letter that throws everything she's believed into doubt.,Amy Einhorn/Putnam,http://www.amazon.com/The-Husbands-Secret-Liane-Moriarty-ebook/dp/B00D7Z4GQY?tag=NYTBS-20
SKIN GAME,Jim Butcher,1,The Chicago wizard Harry Dresden is forced to help an enemy break into a high-security vault; the 15th Dresden Files novel.,Roc,http://www.amazon.com/Skin-Game-Dresden-Files-Butcher/dp/0451464397?tag=NYTBS-20
GHOST SHIP,Clive Cussler and Graham Brown,2,"Kurt Austin, Joe Zavala and the rest of the NUMA crew investigate a sinister organization responsible for vanishing scientists, suspicious accidents and a human trafficking ring.",Putnam,http://www.amazon.com/Ghost-Ship-The-Numa-Files/dp/0399167315?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,3," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,4,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons. ",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
UNLUCKY 13,James Patterson and Maxine Paetro,5,Detective Lindsay Boxer and the Women’s Murder Club track a killer who was presumed dead. ,"Little, Brown",http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/031621129X?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,6,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
THE TARGET,David Baldacci,7,The government hit man Will Robie faces a new adversary. ,Grand Central,http://www.amazon.com/Target-Will-Robie-David-Baldacci-ebook/dp/B00EHMFC78?tag=NYTBS-20
FIELD OF PREY,John Sandford,8,Lucas Davenport investigates when multiple bodies are found in the middle of the Minnesota cornfields.,Putnam,http://www.amazon.com/Field-Prey-John-Sandford-ebook/dp/B00FX7UL72?tag=NYTBS-20
NATCHEZ BURNING,Greg Iles,9,"Penn Cage, a former prosecutor in Natchez, Miss., aids his father, a doctor who has been accused of murder. ",Morrow/HarperCollins,http://www.amazon.com/Natchez-Burning-Novel-Penn-Cage/dp/0062311077?tag=NYTBS-20
THE LINCOLN MYTH,Steve Berry,10,The ex-government operative Cotton Malone becomes involved in a dangerous conflict set in motion by the founding fathers.,Ballantine,http://www.amazon.com/The-Lincoln-Myth-Cotton-Malone-ebook/dp/B00F1W0DBI?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,11,"The relationship between a wealthy Charleston girl, Sarah Grimké, who will grow up to become a prominent abolitionist, and the slave she is given for her 11th birthday. ",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
SUSPICION,Joseph Finder,12,A loan to help a man pay his daughter’s private school expenses turns out to have many strings attached.,Dutton,http://www.amazon.com/Suspicion-Joseph-Finder/dp/0525954600?tag=NYTBS-20
SNIPER'S HONOR,Stephen Hunter,13,"The former Marine sniper Bob Lee Swagger and his reporter friend, Kathy Reilly, search for information about a famous Russian sniper during World War II, a woman.  ",Simon & Schuster,http://www.amazon.com/Snipers-Honor-Bob-Lee-Swagger/dp/1451640234?tag=NYTBS-20
THE HUSBAND'S SECRET,Liane Moriarty,14,A woman’s life is upended when she discovers a letter she was not meant to read.,Amy Einhorn/Putnam,http://www.amazon.com/The-Husbands-Secret-Liane-Moriarty-ebook/dp/B00D7Z4GQY?tag=NYTBS-20
WALKING ON WATER,Richard Paul Evans,15,"In the fifth and final book of the “Walk” series, Alan reaches Key West.",Simon & Schuster,http://www.amazon.com/Walking-Water-Novel-The-Walk-ebook/dp/B00DPM808Y?tag=NYTBS-20
THE LAST KIND WORDS SALOON,Larry McMurtry,16,The friendship of Wyatt Earp and Doc Holliday illuminates the closing of the American frontier.,Liveright,http://www.amazon.com/The-Last-Kind-Words-Saloon/dp/0871407868?tag=NYTBS-20
THE SKIN COLLECTOR,Jeffery Deaver,17,The forensic detective Lincoln Rhyme hunts for a killer who tattoos messages on his victims’ flesh.,Grand Central,http://www.amazon.com/The-Skin-Collector-Lincoln-Rhyme/dp/1455517135?tag=NYTBS-20
THE VACATIONERS,Emma Straub,18,"Well-heeled New Yorkers and their friends spend two weeks in Majorca, a time when rivalries and secrets come to light.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
CHESTNUT STREET,Maeve Binchy,19,"Binchy, who died in 2012, depicts ordinary lives in Dublin. ",Knopf,http://www.amazon.com/Chestnut-Street-Maeve-Binchy-ebook/dp/B00G8EKYFS?tag=NYTBS-20
ANY OTHER NAME,Craig Johnson,20,"Sheriff Walt Longmire explores a detective’s mysterious death. The 11th book in the Longmire series, the basis of the A&E show.",Viking,http://www.amazon.com/Any-Other-Name-Longmire-Mystery-ebook/dp/B00G3L7U0S?tag=NYTBS-20
MR. MERCEDES,Stephen King,1,"A driver plows into a crowd at a job fair, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
SKIN GAME,Jim Butcher,2,The Chicago wizard Harry Dresden is forced to help an enemy break into a high-security vault; the 15th Dresden Files novel.,Roc,http://www.amazon.com/Skin-Game-Dresden-Files-Butcher/dp/0451464397?tag=NYTBS-20
THE HURRICANE SISTERS,Dorothea Benton Frank,3,Three generations of women endure a stormy summer in South Carolina's Lowcountry.,Morrow/HarperCollins,http://www.amazon.com/The-Hurricane-Sisters-A-Novel/dp/0062132520?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,4," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
A SHIVER OF LIGHT,Laurell K Hamilton,5,"In the ninth Meredith Gentry paranormal romance, Merry must save herself and her triplets from Taranis, King of Light and Illusion.",Berkley,http://www.amazon.com/A-Shiver-Light-Merry-Gentry/dp/0425255662?tag=NYTBS-20
MIDNIGHT IN EUROPE,Alan Furst,6,A Spanish lawyer working in Paris on the eve of World War II joins a mission to help the Republican troops.,Random House,http://www.amazon.com/Midnight-Europe-Novel-Alan-Furst/dp/1400069491?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,7,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons. ",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
THE SMOKE AT DAWN,Jeff Shaara,8,"In the summer of 1863, the stage is set for a confrontation at Chattanooga that could determine the fate of the divided nation; the third book in a series about the Civil War.",Ballantine,http://www.amazon.com/The-Smoke-Dawn-Novel-Civil/dp/0345527410?tag=NYTBS-20
SAVE THE DATE,Mary Kay Andrews,9,"A wedding florist tries to shore up her career with Savannah's society event of the season. But she has competition, and other complications.",St. Martin's,http://www.amazon.com/Save-Date-Mary-Kay-Andrews/dp/1250019699?tag=NYTBS-20
CHINA DOLLS,Lisa See,10,Three Asian-American women meet in San Francisco in 1938 at the Forbidden City nightclub.,Random House,http://www.amazon.com/China-Dolls-Novel-Lisa-See/dp/081299289X?tag=NYTBS-20
UNLUCKY 13,James Patterson and Maxine Paetro,11,Detective Lindsay Boxer and the Women’s Murder Club track a killer who was presumed dead. ,"Little, Brown",http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/031621129X?tag=NYTBS-20
GHOST SHIP,Clive Cussler and Graham Brown,12,"Kurt Austin, Joe Zavala and the rest of the NUMA crew investigate a sinister organization responsible for vanishing scientists, suspicious accidents and a human trafficking ring.",Putnam,http://www.amazon.com/Ghost-Ship-The-Numa-Files/dp/0399167315?tag=NYTBS-20
THE TARGET,David Baldacci,13,The government hit man Will Robie faces a new adversary. ,Grand Central,http://www.amazon.com/Target-Will-Robie-David-Baldacci-ebook/dp/B00EHMFC78?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,14,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
FIELD OF PREY,John Sandford,15,Lucas Davenport investigates when multiple bodies are found in the middle of the Minnesota cornfields.,Putnam,http://www.amazon.com/Field-Prey-John-Sandford-ebook/dp/B00FX7UL72?tag=NYTBS-20
VERTIGO 42,Martha Grimes,16,,Scribner,http://www.amazon.com/Vertigo-42-Richard-Jury-Mystery/dp/1476724024?tag=NYTBS-20
THE LINCOLN MYTH,Steve Berry,17,The former government operative Cotton Malone becomes involved in a dangerous conflict set in motion by America's founding fathers.,Ballantine,http://www.amazon.com/The-Lincoln-Myth-Cotton-Malone-ebook/dp/B00F1W0DBI?tag=NYTBS-20
NATCHEZ BURNING,Greg Iles,18,"Penn Cage, a former prosecutor in Natchez, Miss., delves into the secrets of his father, a doctor who has been accused of murdering an African-American nurse.",Morrow/HarperCollins,http://www.amazon.com/Natchez-Burning-Novel-Penn-Cage/dp/0062311077?tag=NYTBS-20
THE VACATIONERS,Emma Straub,19,"Well-heeled New Yorkers and their friends spend two weeks in Majorca, a time when rivalries and secrets come to light.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,20,"The bond between a wealthy Charleston girl, who grows up to become an abolitionist, and the slave she is given for her 11th birthday.",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,1,"In the eighth Outlander time-traveling romance, Jamie Fraser and his family face challenges in the 18th and 20th centuries.",Delacorte,http://www.amazon.com/Written-Own-Hearts-Blood-Outlander-ebook/dp/B00C8S9W0G?tag=NYTBS-20
MR. MERCEDES,Stephen King,2,"A driver plows into a crowd, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,3," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
THE TARGET,David Baldacci,4,The government hit man Will Robie faces a new adversary. ,Grand Central,http://www.amazon.com/Target-Will-Robie-David-Baldacci-ebook/dp/B00EHMFC78?tag=NYTBS-20
THE MATCHMAKER,Elin Hilderbrand,5,A Nantucket resident’s life is shaken by a diagnosis and the return to the island of her high school sweetheart. ,"Little, Brown",http://www.amazon.com/The-Matchmaker-Novel-Elin-Hilderbrand-ebook/dp/B00FPQA7HK?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,6,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons. ",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
UNLUCKY 13,James Patterson and Maxine Paetro,7,Detective Lindsay Boxer and the Women’s Murder Club track a killer who was presumed dead. ,"Little, Brown",http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/031621129X?tag=NYTBS-20
SKIN GAME,Jim Butcher,8,The Chicago wizard Harry Dresden is forced to help an enemy break into a high-security vault; the 15th Dresden Files novel.,Roc,http://www.amazon.com/Skin-Game-Dresden-Files-Butcher/dp/0451464397?tag=NYTBS-20
THE HURRICANE SISTERS,Dorothea Benton Frank,9,Three generations of women endure a stormy summer in South Carolina's Lowcountry.,Morrow/HarperCollins,http://www.amazon.com/The-Hurricane-Sisters-A-Novel/dp/0062132520?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,10,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
GHOST SHIP,Clive Cussler and Graham Brown,11,"Kurt Austin, Joe Zavala and the rest of the NUMA crew investigate a sinister organization.",Putnam,http://www.amazon.com/Ghost-Ship-The-Numa-Files/dp/0399167315?tag=NYTBS-20
THE SMOKE AT DAWN,Jeff Shaara,12,The third book in a series about the Civil War is set in Chattanooga in 1863 as forces prepare for a confrontation.,Ballantine,http://www.amazon.com/The-Smoke-Dawn-Novel-Civil/dp/0345527410?tag=NYTBS-20
MIDNIGHT IN EUROPE,Alan Furst,13,A Spanish lawyer working in Paris on the eve of World War II joins a mission to help the Republican troops.,Random House,http://www.amazon.com/Midnight-Europe-Novel-Alan-Furst/dp/1400069491?tag=NYTBS-20
CHINA DOLLS,Lisa See,14,Three Asian-American women meet in San Francisco in 1938 at the Forbidden City nightclub.,Random House,http://www.amazon.com/China-Dolls-Novel-Lisa-See/dp/081299289X?tag=NYTBS-20
THE VACATIONERS,Emma Straub,15,"An Upper West Side couple, their children and their friends confront life’s changes during two weeks in Mallorca.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
NATCHEZ BURNING,Greg Iles,16,"Penn Cage, a former prosecutor in Natchez, Miss., aids his father, a doctor who has been accused of murder. ",Morrow/HarperCollins,http://www.amazon.com/Natchez-Burning-Novel-Penn-Cage/dp/0062311077?tag=NYTBS-20
FIELD OF PREY,John Sandford,17,Lucas Davenport investigates when multiple bodies are found in a Minnesota cornfield.,Putnam,http://www.amazon.com/Field-Prey-John-Sandford-ebook/dp/B00FX7UL72?tag=NYTBS-20
THE LINCOLN MYTH,Steve Berry,18,The former government operative Cotton Malone becomes involved in a dangerous conflict set in motion by America's founding fathers.,Ballantine,http://www.amazon.com/The-Lincoln-Myth-Cotton-Malone-ebook/dp/B00F1W0DBI?tag=NYTBS-20
EARTH AWAKENS,Orson Scott Card and Aaron Johnston,19,,Tor,http://www.amazon.com/Earth-Awakens-The-First-Formic-ebook/dp/B00HBPXRZC?tag=NYTBS-20
THE INVENTION OF WINGS,Sue Monk Kidd,20,"The bond between a wealthy Charleston girl, who grows up to become an abolitionist, and the slave she is given for her 11th birthday.",Viking,http://www.amazon.com/The-Invention-Wings-A-Novel/dp/0670024783?tag=NYTBS-20
TOP SECRET TWENTY-ONE,Janet Evanovich,1,"The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars, while she juggles Joe Morelli, the sexy cop, and the security expert Ranger.",Bantam,http://www.amazon.com/Top-Secret-Twenty-One-Stephanie-Novel-ebook/dp/B00H1294XO?tag=NYTBS-20
THE SILKWORM,Robert Galbraith,2,The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered,"Mulholland/Little, Brown",http://www.amazon.com/The-Silkworm-Cormoran-Strike-Novel-ebook/dp/B00IJJUIOM?tag=NYTBS-20
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,3,Jamie Fraser and his family face challenges in the 18th and 20th centuries.,Delacorte,http://www.amazon.com/Written-Own-Hearts-Blood-Outlander-ebook/dp/B00C8S9W0G?tag=NYTBS-20
MR. MERCEDES,Stephen King,4,"A driver plows into a crowd, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
ALL FALL DOWN,Jennifer Weiner,5,A woman becomes addicted to pain medication.,Atria,http://www.amazon.com/All-Fall-Down-A-Novel-ebook/dp/B00DPM909W?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,6," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
ROGUES,edited  George R R Martin and Gardner Dozois,7,"Twenty-one original stories from well-known writers, including a new “Game of Thrones” story.",Bantam,http://www.amazon.com/Rogues-George-R-R-Martin-ebook/dp/B00IWTTPOI?tag=NYTBS-20
THE ONE AND ONLY,Emily Giffin,8,"A woman who has grown up and made her life in a small, football-obsessed Texas town begins to expand her horizons. ",Ballantine,http://www.amazon.com/The-One-Only-A-Novel-ebook/dp/B00F1W0DF4?tag=NYTBS-20
THE HURRICANE SISTERS,Dorothea Benton Frank,9,Three generations of women endure a stormy summer in South Carolina's Lowcountry.,Morrow/HarperCollins,http://www.amazon.com/The-Hurricane-Sisters-A-Novel/dp/0062132520?tag=NYTBS-20
THE MATCHMAKER,Elin Hilderbrand,10,A Nantucket resident’s life is shaken by a diagnosis and the return to the island of her high school sweetheart. ,"Little, Brown",http://www.amazon.com/The-Matchmaker-Novel-Elin-Hilderbrand-ebook/dp/B00FPQA7HK?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,11,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
THE TARGET,David Baldacci,12,The government hit man Will Robie faces a new adversary. ,Grand Central,http://www.amazon.com/Target-Will-Robie-David-Baldacci-ebook/dp/B00EHMFC78?tag=NYTBS-20
SKIN GAME,Jim Butcher,13,The Chicago wizard Harry Dresden is forced to help an enemy break into a high-security vault; the 15th Dresden Files novel.,Roc,http://www.amazon.com/Skin-Game-Dresden-Files-Butcher/dp/0451464397?tag=NYTBS-20
THE VACATIONERS,Emma Straub,14,"An Upper West Side couple, their children and their friends confront life’s changes during two weeks in Mallorca.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
UNLUCKY 13,James Patterson and Maxine Paetro,15,Detective Lindsay Boxer and the Women’s Murder Club track a killer who was presumed dead. ,"Little, Brown",http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/031621129X?tag=NYTBS-20
TERMINAL CITY,Linda Fairstein,16,"Alexandra Cooper, a Manhattan assistant district attorney, hunts for a killer in Grand Central’s underground tunnels.",Dutton,http://www.amazon.com/Terminal-City-Linda-Fairstein-ebook/dp/B00G3L18H4?tag=NYTBS-20
SHATTERED,Kevin Hearne,17,Atticus O’Sullivan is no longer the only Druid to walk the earth; part of the Iron Druid Chronicles series.,Del Rey,http://www.amazon.com/Shattered-Iron-Druid-Chronicles-Seven-ebook/dp/B00FIMYZFQ?tag=NYTBS-20
MIDNIGHT IN EUROPE,Alan Furst,18,A Spanish lawyer working in Paris on the eve of World War II joins a mission to help the Republican troops.,Random House,http://www.amazon.com/Midnight-Europe-Novel-Alan-Furst/dp/1400069491?tag=NYTBS-20
GHOST SHIP,Clive Cussler and Graham Brown,19,"Kurt Austin, Joe Zavala and the rest of the NUMA crew investigate a sinister organization responsible for vanishing scientists, suspicious accidents and a human trafficking ring.",Putnam,http://www.amazon.com/Ghost-Ship-The-Numa-Files/dp/0399167315?tag=NYTBS-20
CHINA DOLLS,Lisa See,20,Three Asian-American women meet in San Francisco in 1938 at the Forbidden City nightclub.,Random House,http://www.amazon.com/China-Dolls-Novel-Lisa-See/dp/081299289X?tag=NYTBS-20
INVISIBLE,James Patterson and David Ellis,1," Searching for her sister’s killer, a former F.B.I. researcher finds a link between scores of apparently unconnected unsolved cases. Now she must convince her boss and her former boyfriend that this killer is real. ","Little, Brown",http://www.amazon.com/Invisible-James-Patterson-ebook/dp/B00FPQA7O8?tag=NYTBS-20
TOP SECRET TWENTY-ONE,Janet Evanovich,2,"The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars, while she juggles Joe Morelli, the sexy cop, and the security expert Ranger.",Bantam,http://www.amazon.com/Top-Secret-Twenty-One-Stephanie-Novel-ebook/dp/B00H1294XO?tag=NYTBS-20
THE SILKWORM,Robert Galbraith,3,"The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered; by J.K. Rowling, writing pseudonymously.","Mulholland/Little, Brown",http://www.amazon.com/The-Silkworm-Cormoran-Strike-Novel-ebook/dp/B00IJJUIOM?tag=NYTBS-20
MR. MERCEDES,Stephen King,4,"A driver plows into a crowd, killing eight. The killer then taunts a suicidal ex-cop, who must stop another, deadlier attack.",Scribner,http://www.amazon.com/Mr-Mercedes-Novel-Stephen-King-ebook/dp/B00GEEB52S?tag=NYTBS-20
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,5,Jamie Fraser and his family face challenges in the 18th and 20th centuries.,Delacorte,http://www.amazon.com/Written-Own-Hearts-Blood-Outlander-ebook/dp/B00C8S9W0G?tag=NYTBS-20
THE GOLDFINCH,Donna Tartt,6," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.","Little, Brown",http://www.amazon.com/The-Goldfinch-Novel-Pulitzer-Fiction-ebook/dp/B00BAXFECK?tag=NYTBS-20
ALL FALL DOWN,Jennifer Weiner,7,A woman becomes addicted to pain medication.,Atria,http://www.amazon.com/All-Fall-Down-A-Novel-ebook/dp/B00DPM909W?tag=NYTBS-20
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,8,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II. ,Scribner,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20
COP TOWN,Karin Slaughter,9,"In Atlanta in 1974, two women cops, both with something to prove, join in the search for a serial killer who is targeting the police.",Delacorte,http://www.amazon.com/Cop-Town-Novel-Karin-Slaughter-ebook/dp/B00FO5YFUW?tag=NYTBS-20
THE VACATIONERS,Emma Straub,10,"An Upper West Side couple, their children and their friends confront life’s changes during two weeks in Mallorca.",Riverhead,http://www.amazon.com/The-Vacationers-Novel-Emma-Straub/dp/1594631573?tag=NYTBS-20
THE HURRICANE SISTERS,Dorothea Benton Frank,11,Three generations of women endure a stormy summer in South Carolina's Lowcountry.,Morrow/HarperCollins,http://www.amazon.com/The-Hurricane-Sisters-A-Novel/dp/0062132520?tag=NYTBS-20
