,title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,year
23,"12 BEAST, VOL. 2",OKAYADO,9781626921788,1626921784,3.0,,Eita Touga is talented but unambitious ninja. He would rather sit and play video games than take over the family dojo. Until an unexpected visitor takes him to another dimension!,https://www.amazon.com/12-Beast-Vol-2-OKAYADO/dp/1626921784?tag=NYTBS-20,,,2015-07-07
24,"12 BEAST, VOL. 3",OKAYADO,9781626922617,1626922616,3.0,,"Eita Touga, a talented but unambitious ninja, suddenly finds himself in a fantastical realm that is in danger of being invaded by a more technologically-advanced empire.",https://www.amazon.com/12-Beast-Vol-3-OKAYADO/dp/1626922616?tag=NYTBS-20,,,2016-02-09
25,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,9780241351659,0241351650,1.0,4.8,,,,"[""Books"",""Business & Money"",""Job Hunting & Careers""]",2018-01-16
26,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson (Author;Narrator);Norman Doidge MD - foreword (Author);Random House Canada (Publisher);0 more,9780345816047,0345816048,1.0,4.8,,,,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling"",""Applied Psychology""]",2018-01-23
27,12 Years A Slave,Solomon Northup,9781429015929,1429015926,39.0,4.6,,,,"[""Books"",""Politics & Social Sciences"",""Social Sciences""]",2008-10
28,12 Years a Slave,Solomon Northup,9781429015929,1429015926,50.0,4.6,,,,"[""Books"",""Politics & Social Sciences"",""Social Sciences""]",2008-10
29,1225 CHRISTMAS TREE LANE,Debbie Macomber,9780778312697,0778312690,3.0,,Puppies that need good homes and an ex-husband loom large in the last installment of the Cedar Cove series.,https://www.amazon.com/1225-Christmas-Tree-Lane-Cedar/dp/0778312690?tag=NYTBS-20,Mira,,2011-09-27
30,12TH OF NEVER,James Patterson;Maxine Paetro,9780316210829,031621082X,1.0,,"One week after the birth of her baby, Detective Lindsay Boxer must return to work to investigate a string of grisly murders; a Women’s Murder Club novel. ",https://www.amazon.com/12th-Never-Womens-Murder-Club/dp/1455515795?tag=NYTBS-20,"Little, Brown",,2013-04-29
31,13 BANKERS,Simon Johnson;James Kwak,9780307379054,0307379051,5.0,,A call for the restructuring of the banking industry.,https://www.amazon.com/13-Bankers-Takeover-Financial-Meltdown/dp/0307379051?tag=NYTBS-20,,,2010
32,13 HOURS,Mitchell Zuckoff;members of the Annex Security Team,9781455538393,1455538396,2.0,,"An account by American security personnel of their battle against the terrorists during the attack on the State Department compound in Benghazi, Libya, in 2012.",https://www.amazon.com/13-Hours-Account-Happened-Benghazi-ebook/dp/B00LEWR0SS?tag=NYTBS-20,,,2015-11-24
33,1356,Bernard Cornwell,9780007510900,000751090X,11.0,,"In the fourth book of the Grail Quest series, the English and French face off at the Battle of Poitiers.",http://www.amazon.com/1356-A-Novel-Bernard-Cornwell/dp/0061969672?tag=NYTBS-20,Harper/HarperCollins,,2013-06-06
34,1491,Charles C Mann,9781400032051,1400032059,5.0,,A portrait of pre-Columbian life in the Americas.,https://www.amazon.com/1491-Revelations-Americas-Before-Columbus/dp/1400032059?tag=NYTBS-20,,,2006-10-10
35,1493,Charles C Mann,9780307265722,0307265722,4.0,,"Picking up where “1491” left off, the author says that ecological encounters since Columbus have affected much of subsequent human history.",https://www.amazon.com/1493-Uncovering-World-Columbus-Created-ebook/dp/B004G606EY?tag=NYTBS-20,,,2011
36,14TH DEADLY SIN,James Patterson;Maxine Paetro,9780316407021,031640702X,1.0,,"A video of a shocking crime surfaces, casting suspicion on a San Francisco detective's colleagues.",https://www.amazon.com/14th-Deadly-Womens-Murder-Club/dp/031640702X?tag=NYTBS-20,"Little, Brown",,2015-05-04
37,15 INVALUABLE LAWS OF GROWTH,John C Maxwell,9781599953663,1599953668,1.0,,Tried and true principles to help our personal development.,https://www.amazon.com/The-Invaluable-Laws-Growth-Potential/dp/1599953668?tag=NYTBS-20,,,2012-10-02
38,15 SECONDS,Andrew Gross,9780007384273,0007384270,18.0,,,http://www.amazon.com/15-Seconds-Andrew-Gross/dp/006165597X?tag=NYTBS-20,Morrow,,2012
39,15TH AFFAIR,James Patterson;Maxine Paetro,9780316290050,031629005X,1.0,,"When a brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, she turns for help to the Women’s Murder Club.",https://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,"Little, Brown",,
40,16TH SEDUCTION,James Patterson;Maxine Paetro,9780316274036,0316274038,1.0,,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20,"Little, Brown",,2017-05-01
41,1984,George Orwell,9780547249643,0547249640,89.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",2013-09-03
42,1984,George Orwell (Author);Benjamin May (Narrator);Page2Page (Publisher);0 more,,,36.0,4.7,,,,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Dystopian""]",
43,1984,George Orwell (Author);Charlton Griffin (Narrator);Audio Connoisseur (Publisher);0 more,,,84.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Political""]",
44,1984 (Signet Classics),George Orwell,9781973896630,197389663X,84.0,4.7,,,,,2017-07-26
45,1Q84,Haruki Murakami,9780307593313,0307593312,2.0,,"In 1980s Tokyo, a woman who punishes perpetrators of domestic violence has ties to an aspiring novelist with an unusual project.",https://www.amazon.com/1Q84-Haruki-Murakami-ebook/dp/B004LROUW2?tag=NYTBS-20,Knopf,,2011-10-25
46,1Q84: A novel,Haruki Murakami,9781446484203,1446484203,61.0,4.3,,,,,2011-10-25
47,20 YEARS YOUNGER,Bob Greene;Howard Lancer;Ronald L Kotler;Diane L McKay,9780316133784,0316133787,2.0,,"Feeling better as you age by addressing exercise, diet, sleep and skin care.",https://www.amazon.com/20-Years-Younger-Look-Feel/dp/0316133787?tag=NYTBS-20,,,2011-04-26
48,"200 Must Know Sight Words Activity Workbook: Learn, Trace & Practice The 200 Most Common High Frequency Words For Kids Learning To Write & Read. | Ages 5-8",Smart Kids Notebooks,9798622772818,,1.0,4.7,,,,"[""Books"",""Children's Books"",""Education & Reference""]",2020-03-08
49,2010 TAKE BACK AMERICA,Dick Morris;Eileen McGann,9780061988448,0061988448,4.0,,The most vulnerable incumbent Democrats and how to defeat them.,https://www.amazon.com/2010-Take-America-Dick-Morris/dp/0061988448?tag=NYTBS-20,,,2010-04-13
50,2030,Albert Brooks,9781429996501,1429996501,16.0,,"In 2030, the young resent the elderly for draining the weakening economy, and a devastating earthquake in Los Angeles tests the administration of the country’s first Jewish president.",http://www.amazon.com/2030-Real-Story-Happens-America-ebook/dp/B004OA62WC?tag=NYTBS-20,St. Martin's,,2011-05-10
51,206 BONES,Kathy Reichs,,,4.0,,Temperance Brennan is accused of mishandling an autopsy.,http://www.amazon.com/206-Bones-Novel-Temperance-Brennan-ebook/dp/B001NLL7K2?tag=NYTBS-20,Scribner,,
52,"20TH CENTURY BOYS, VOL. 20",Naoki Urasawa,9781421535388,1421535386,2.0,,"From the publisher: ""Darkness covers the earth, and the world is under the control of evil."" Who will rise up to fight for good?",https://www.amazon.com/Naoki-Urasawas-20th-Century-Boys/dp/1421535386?tag=NYTBS-20,,,2012-04-17
53,21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,9780525512172,0525512179,2.0,,"Technological, political and social issues in the modern era, and the choices individuals might consider in facing them.",https://www.amazon.com/Lessons-21st-Century-Yuval-Harari/dp/0525512179?tag=NYTBS-20,,,
54,21st Birthday,James Patterson (Author);Maxine Paetro (Author);January LaVoy (Narrator);Little;Brown;Company (Publisher);1 more,,,17.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery"",""Police Procedurals""]",
55,21st Birthday (Women's Murder Club),James PattersonMaxine Paetro,9781473580060,1473580064,48.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",2021-03-04
56,"21st Birthday (Women's Murder Club, 21)",James PattersonMaxine Paetro,9781473580060,1473580064,26.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",2021-03-04
57,2312,Kim Stanley Robinson,9780316192804,0316192805,20.0,,,http://www.amazon.com/2312-Kim-Stanley-Robinson/dp/0316098124?tag=NYTBS-20,Orbit,,2012-05-22
58,365 Bedtime Stories and Rhymes,Cottage Door Press,,1680524046,2.0,4.8,,,,"[""Books"",""Children's Books"",""Literature & Fiction""]",
59,4 3 2 1,Paul Auster,9781627794473,1627794476,13.0,,Four versions of the formative years of a Jewish boy born in Newark in 1947.,https://www.amazon.com/4-3-2-1-Novel/dp/1627794468?tag=NYTBS-20,Holt,,
60,4 ESSENTIALS OF ENTREPRENEURIAL THINKING,Cliff Michaels,9780615450551,0615450555,3.0,,Learning from “what successful people didn’t learn in school.”,https://www.amazon.com/The-Essentials-Entrepreneurial-Thinking-Successful/dp/0615450555?tag=NYTBS-20,,,2012-01
61,4-HOUR WORKWEEK,Timothy Ferriss,9780307381378,0307381374,4.0,,Reconstructing your life so that it’s not all about work.,https://www.amazon.com/Georgia-Cooking-Oklahoma-Kitchen-Recipes/dp/0307381374?tag=NYTBS-20,,,2008
62,40 CHANCES,Howard G Buffett;Howard W Buffett,9781451687866,1451687869,5.0,,What Warren Buffett’s son and grandson have learned in their efforts to feed the hungry.,https://www.amazon.com/40-Chances-Finding-Hungry-World/dp/1451687869?tag=NYTBS-20,,,2013-10-22
63,400 CALORIE FIX,Liz Vaccariello;Mindy Hermann,9781605294940,1605294942,4.0,,A diet guide with a straightforward task: controlling calorie intake.,https://www.amazon.com/400-Calorie-Fix-Permanent-Weight/dp/1605294942?tag=NYTBS-20,,,2010-12-21
64,41,George W Bush,9780553447781,0553447785,1.0,,"The 43rd president’s portrait of his father, George H. W. Bush, the 41st.",https://www.amazon.com/41-A-Portrait-My-Father/dp/0553447785?tag=NYTBS-20,,,2014-11-11
65,41: A Portrait of My Father,George W. Bush,9780753551417,0753551411,56.0,4.7,,,,,2014-11-11
66,44 CHARLES STREET,Danielle Steel,9780385343145,0385343140,4.0,,The owner of a Greenwich Village town house takes in boarders and bonds with her tenants.,https://www.amazon.com/44-Charles-Street-A-Novel/dp/0440245176?tag=NYTBS-20,Delacorte,,2011
67,48 Laws of Power,Robert Greene (Author);Richard Poe (Narrator);HighBridge;a Division of Recorded Books (Publisher);0 more,,,3.0,4.7,,,,"[""Books"",""Politics & Social Sciences"",""Politics & Government"",""Political Science"",""History & Theory""]",
68,48 Laws of Power Robert and Joost Elffers Greene: Lined Hardcover 8.5 x 11 110 Pages,Robert Greene,9781861974044,1861974043,2.0,4.7,,,,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",2002
69,5 Ingredients: Quick & Easy Food,Jamie Oliver,9781405932202,1405932201,6.0,4.6,,,,"[""Books"",""Cookbooks, Food & Wine"",""Cooking Methods""]",2017-08-24
70,5 VERY GOOD REASONS TO PUNCH A DOLPHIN IN THE MOUTH,The Oatmeal,9781449401160,1449401163,5.0,,Comics from the Web site.,https://www.amazon.com/Reasons-Punch-Dolphin-Useful-Guides/dp/1449401163?tag=NYTBS-20,,,2011-03-01
71,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,9781426376146,1426376146,40.0,4.8,,,,,2024
72,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",by National Kids (Author),,9781426310492,1.0,4.8,,,,"[""Books"",""Children's Books"",""Education & Reference""]",
73,50 CHILDREN,Steven Pressman,9780062237491,0062237497,1.0,,How a Philadelphia couple traveled to Germany in 1939 and rescued 50 Jewish children by bringing them to America; based on the 2013 HBO documentary.,https://www.amazon.com/50-Children-Ordinary-American-Extraordinary-ebook/dp/B00FJ34YLO?tag=NYTBS-20,,,2014-04-22
74,50 Shades Of Bullsh*t,by Adult Coloring Books (Author);Swear Word Coloring Book (Author);Adult Colouring Books (Author);0 more,9781944845032,1944845038,92.0,4.6,,,,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]",2016-02-22
75,50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,Alex Fleming,9782376190011,2376190010,4.0,4.6,,,,"[""Books"",""Crafts, Hobbies & Home"",""Crafts & Hobbies""]",2016-05-10
76,"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",National GeographicJoe Yogerst,9781426216909,1426216904,1.0,4.6,,,,"[""Books"",""Travel"",""Canada""]",2017
77,"50 YEARS, 50 MOMENTS",Jerry Rice;Randy O Williams,9780062302601,0062302604,3.0,,,https://www.amazon.com/50-Years-Moments-Unforgettable-History/dp/0062302604?tag=NYTBS-20,,,2015-11-03
78,5TH WAVE,Rick Yancey,9780399162435,0399162437,1.0,,A resistance force of teenage soldiers rises up when invaders threaten life on Earth.,https://www.amazon.com/Last-Star-Final-Book-Wave/dp/0399162437?tag=NYTBS-20,,,2016-05-24
79,61 HOURS,Lee Child,9780385340588,0385340583,1.0,,Jack Reacher helps the police in a small South Dakota town protect a witness in a drug trial.,https://www.amazon.com/61-Hours-Jack-Reacher-Novel/dp/0440243696?tag=NYTBS-20,Delacorte,,2010
80,63 DOCUMENTS THE GOVERNMENT DOESN'T WANT YOU TO READ,Jesse Ventura;Dick Russell,9781616082260,1616082267,4.0,,The former governor of Minnesota implores Americans to challenge government secrecy.,https://www.amazon.com/Documents-Government-Doesnt-Want-Read/dp/1616082267?tag=NYTBS-20,,,2011-04-04
81,7 LESSONS FROM HEAVEN,Mary C Neal,9780451495426,045149542X,5.0,,,https://www.amazon.com/Lessons-Heaven-Dying-Taught-Joy-Filled/dp/045149542X?tag=NYTBS-20,,,2017-09-19
82,7 MILES A SECOND,David Wojnarowicz;James Romberger,9781606996140,1606996142,5.0,,This is the autobiographical tale of David Wojnarowicz — about life as a hustler on the streets of New York City and living with AIDS.,https://www.amazon.com/7-Miles-Second-David-Wojnarowicz/dp/1606996142?tag=NYTBS-20,,,2012
83,7 Ways: Easy Ideas for Every Day of the Week [American Measurements],Jamie Oliver,9781250787583,1250787580,9.0,4.7,,,,"[""Books"",""Cookbooks, Food & Wine"",""Cooking by Ingredient""]",2020-12-01
84,7 YEARS YOUNGER,the editors of Good Housekeeping,9781936297634,1936297639,3.0,,A combination of beauty plan and diet-and-fitness program.,https://www.amazon.com/Years-Younger-Revolutionary-7-Week-Anti-Aging/dp/1936297639?tag=NYTBS-20,,,2013-01-01
85,77 SHADOW STREET,Dean Koontz,9780553807714,0553807714,4.0,,"A 19th-century tycoon’s mansion has been turned into luxury apartments, but it remains in the grip of evil forces.",https://www.amazon.com/Shadow-Street-bonus-novella-Moonlit/dp/0553593064?tag=NYTBS-20,Bantam,,2011
86,99 DAYS,Katie Cotugno,9780062216403,0062216406,5.0,,,https://www.amazon.com/99-Days-Katie-Cotugno-ebook/dp/B00M707E1O?tag=NYTBS-20,,,2015-04-21
87,A BALL FOR DAISY,Chris Raschka,9780375858611,037585861X,3.0,,Daisy’s favorite ball is destroyed by a bigger dog; a 2012 Caldecott winner.,https://www.amazon.com/Ball-Daisy-Caldecott-Medal-Winner/dp/037585861X?tag=NYTBS-20,,,2011-05-10
88,A BANQUET OF CONSEQUENCES,Elizabeth George,9780525954330,0525954333,4.0,,"Can a suicide in Dorset be connected to a poisoning in Cambridge? In the 19th novel in a series, the Scotland Yard detectives Thomas Lynley and Barbara Havers investigate.",https://www.amazon.com/Banquet-Consequences-Lynley-Novel/dp/0525954333?tag=NYTBS-20,Viking,,2015-10-27
89,A BAXTER FAMILY CHRISTMAS,Karen Kingsbury,9781982129835,1982129832,6.0,,A story of love and redemption featuring the Baxter family.,https://www.amazon.com/Baxter-Family-Christmas-Karen-Kingsbury/dp/1451687567?tag=NYTBS-20,Howard Books,,2019-10-29
90,A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,9781683691136,168369113X,2.0,,An illustrated treasury of 75 songs.,https://www.amazon.com/Beautiful-Day-Neighborhood-Poetry-Mister/dp/168369113X?tag=NYTBS-20,,,2019-03-19
91,A BEAUTIFUL FUNERAL,Jamie McGuire,9781310169199,1310169195,4.0,,"Amid strife and divisions, the Maddox clan gathers to bury one of their own.",https://www.amazon.com/Beautiful-Funeral-Novel-Maddox-Brothers/dp/1534623574?tag=NYTBS-20,,,2016-08-15
92,A BETTER MAN,Louise Penny,9781250066213,1250066212,1.0,,The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.,https://www.amazon.com/Better-Man-Chief-Inspector-Gamache/dp/1250066212?tag=NYTBS-20,,,2019-08-27
93,A BIG GUY TOOK MY BALL!,Mo Willems,9781423174912,1423174917,1.0,,Someone stole Piggie’s ball. That is not right. ,https://www.amazon.com/Took-Ball-Elephant-Piggie-Book/dp/1423174917?tag=NYTBS-20,,,2013-05-21
94,A BLAZE OF GLORY,Jeff Shaara,9780345527370,0345527372,7.0,,A re-creation of the Battle of Shiloh in 1862.,http://www.amazon.com/Blaze-Glory-Novel-Battle-Shiloh/dp/0345527356?tag=NYTBS-20,Ballantine,,2012-05-29
95,"A BRIDE'S STORY, VOL. 4",Kaoru Mori,9780316232036,0316232033,3.0,,"The exploration of life on the nineteenth-century Silk Road continues. In this volume, meet Laila and Leily, identical twins on the search for husbands.",https://www.amazon.com/A-Brides-Story-Vol-4/dp/0316232033?tag=NYTBS-20,,,2013-01-22
96,"A BRIDE'S STORY, VOL. 5",Kaoru Mori,9780316243094,0316243094,3.0,,"Laila and Leily's wedding day finally arrives, but will the ceremony and their grooms live up to their expectations?",https://www.amazon.com/A-Brides-Story-Vol-5/dp/0316243094?tag=NYTBS-20,,,2013-09-24
97,A BRIEF HISTORY OF SEVEN KILLINGS,Marlon James,9781594633942,1594633940,5.0,,"This novel uses the attempted assassination of Bob Marley in 1976 to explore Jamaican politics, poverty, gang wars and drug trafficking; the winner of this year's Man Booker Prize.",https://www.amazon.com/Brief-History-Seven-Killings-Novel/dp/1594633940?tag=NYTBS-20,,,2015-09-08
98,A BRIEF HISTORY OF TIME,Stephen Hawking,9780553380163,0553380168,5.0,,The British cosmologist reviews efforts to create a unified theory of the universe.,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?tag=NYTBS-20,,,1998-09-01
99,A BRUSH OF WINGS,Karen Kingsbury,9781451687552,1451687559,10.0,,Book 3 in the Angels Walking series.,http://www.amazon.com/Brush-Wings-Novel-Angels-Walking-ebook/dp/B010MHAWKS?tag=NYTBS-20,Howard,,2017-02-07
100,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,,1099617200,2.0,4.5,,,,"[""Books"",""Business & Money"",""Investing""]",
101,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter (Author);Mike Norgaard (Narrator);Little Cash Machines LLC (Publisher);0 more,,,3.0,4.5,,,,"[""Books"",""Business & Money"",""Investing"",""Stocks""]",
102,A Breath of Snow and Ashes (Outlander),Diana Gabaldon,9781446494295,1446494292,70.0,4.8,,,,"[""Books"",""Science Fiction & Fantasy"",""Fantasy""]",2011-08-31
103,"A Breath of Snow and Ashes: Outlander, Book 6",Diana Gabaldon (Author);Davina Porter (Narrator);Recorded Books (Publisher);0 more,9781510005570,1510005579,7.0,4.8,,,,"[""Books"",""Romance"",""Historical"",""Scottish""]",2015-04-23
104,A Brief History of Time,Stephen Hawking,9780553380163,0553380168,1.0,4.7,,,,"[""Books"",""Science & Math"",""Astronomy & Space Science""]",1998-09-01
105,A CEDAR COVE CHRISTMAS,Debbie Macomber,,,7.0,,A pregnant woman shows up in Cedar Cove on Christmas Eve and goes into labor in a room above a stable.,http://www.amazon.com/Cedar-Cove-Christmas-Debbie-Macomber-ebook/dp/B001ANST8Q?tag=NYTBS-20,Mira,,
106,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 2",Kazuma Kamachi,9781935934028,1935934023,2.0,,"Welcome to Academy City, which teems with psychics. One of them is Mikoto Misaka, who investigates the dark side of things.",https://www.amazon.com/Certain-Scientific-Railgun-Vol/dp/1935934023?tag=NYTBS-20,,,2011-09-27
107,A CHAIN OF THUNDER,Jeff Shaara,9780345527400,0345527402,7.0,,A novel about the siege of Vicksburg in 1863; the second book in a trilogy about the Civil War.,http://www.amazon.com/Chain-Thunder-Novel-Siege-Vicksburg/dp/0345527380?tag=NYTBS-20,Ballantine,,2013-05-21
108,A CHANGE IN ALTITUDE,Anita Shreve,9780748115600,0748115609,11.0,,A young woman’s life is transformed by a mountain-climbing accident in Kenya.,http://www.amazon.com/A-Change-Altitude-Novel/dp/0316020710?tag=NYTBS-20,"Little, Brown",,2009-11-05
109,A CHILD OF BOOKS,Oliver Jeffers;Sam Winston,9780763690779,0763690775,5.0,,Kids scale typographic mountains in a tribute to words.,https://www.amazon.com/Child-Books-Oliver-Jeffers/dp/0763690775?tag=NYTBS-20,,,2016-09-06
110,A CHILD'S FIRST BOOK OF TRUMP,Michael Ian Black;Marc Rosenthal,9781481488006,1481488007,5.0,,,https://www.amazon.com/Childs-First-Book-Trump/dp/1481488007?tag=NYTBS-20,,,2016-07-05
111,A CHRISTMAS BRIDE,Susan Mallery,9780373778027,0373778023,5.0,,"A reissue of a 2011 novella, ""Only Us: A Fool’s Gold Holiday,"" and a 2007 novel, ""The Sheik and the Christmas Bride.""",https://www.amazon.com/Christmas-Bride-Fools-Holiday?tag=NYTBS-20,,,2012-10-23
112,A CLASH OF KINGS,George RR Martin,9780553579901,0553579908,4.0,,"From the citadel of Dragonstone to the shores of Winterfell, factions vie for control of a divided land; Book 2 of ""A Song of Ice and Fire.""",https://www.amazon.com/Clash-Kings-Song-Fire-Book/dp/0553579908?tag=NYTBS-20,,,2000-09-05
113,A COLONY IN A NATION,Chris Hayes,9780393254228,0393254224,5.0,,The MSNC host discusses race relations with a focus on the differences in policing in the white nation and its black colony.,https://www.amazon.com/Colony-Nation-Chris-Hayes/dp/0393254224?tag=NYTBS-20,,,2017-03-21
